name,beschreibung,name_fr,beschreibung_fr,name_en,beschreibung_en,preis,typ,groesse,vegetarisch,vegan,herkunft,kategorieID
Bruschetta,Geröstetes Brot mit Tomaten und Basilikum,Bruschetta,Pain grillé aux tomates et au basilic,Bruschetta,Toasted bread with tomatoes and basil,6.5,Speise,,1,1,,4
Caprese,Mozzarella mit Tomaten und Basilikum,Caprese,Mozzarella tomates et basilic,Caprese,Mozzarella with tomatoes and basil,8.5,Speise,,1,0,,4
Rinds-Carpaccio,Dünn geschnittenes Rindfleisch mit Parmesan,Carpaccio de bœuf,Viande de bœuf finement tranchée avec parmesan,Beef Carpaccio,Thinly sliced beef with Parmesan,14.5,Speise,,0,0,CH,4
Kleiner gemischter Salat,Blattsalat mit Karotten und Gurken,Petite salade mixte,Salade verte avec carottes et concombres,Small mixed salad,Leaf salad with carrots and cucumbers,6.5,Speise,,1,1,,4
Kürbissuppe,Cremige Suppe mit gerösteten Kernen,Soupe de potiron,Velouté crémeux aux graines grillées,Pumpkin soup,Creamy soup with roasted seeds,7.5,Speise,,1,1,,4
Tomatensuppe,Mit Basilikum und Creme fraiche,Soupe de tomates,Servie avec basilic et crème fraîche,Tomato soup,With basil and crème fraîche,6.5,Speise,,1,0,,4
Gefüllte Champignons,Mit Frischkäse überbacken,Champignons farcis,Champignons gratinés au fromage frais,Stuffed mushrooms,Mushrooms topped with cream cheese,8.5,Speise,,1,0,,4
Bunter Antipasti-Teller,Grillgemüse mit Oliven,Assiette d'antipasti colorée,Légumes grillés et olives,Colorful antipasti platter,Grilled vegetables with olives,10.5,Speise,,1,1,,4
Mini-Frühlingsrollen,Mit Gemüsefuellung und Dip,Mini-rolls de printemps,Rouleaux de printemps aux légumes avec sauce,Mini spring rolls,With vegetable filling and dip,7.5,Speise,,1,1,,4
Räucherlachs auf Toast,Mit Dillsauce,Saumon fumé sur toast,Saumon fumé sur toast avec sauce à l'aneth,Smoked salmon on toast,With dill sauce,11.5,Speise,,0,0,NO,4
Spaghetti Bolognese,Nudeln mit Rindfleischsauce,Spaghetti Bolognaise,Spaghetti à la sauce bolognaise,Spaghetti Bolognese,Pasta with beef sauce,18.5,Speise,,0,0,CH,1
